"role","skill_name","purpose","domain","install_tier","source_group","source_commit","package_relative_path","skill_file","permission_note"
"leader","github-raw-fetch","当用户提供 GitHub 文件页面链接，或希望读取某个仓库中的源码、配置、README、Markdown、docs 内容时，使用此技能。技能不仅支持将 `github.com/<owner>/<repo>/blob/<ref>/...` 转换为 `raw.githubusercontent.com` 链接，还要求在读取仓库 docs 前优先读取同仓库同 ref 的 `agent_router.md`，根据其中声明的目录结构或路由规则拼出真实路径，并优先通过 `curl` 获取内容。","repository-documentation","general-recommended","ascend-agent-skills/MindStudio","6a6e9af256d866316cccc4b53966b146c4f536f2","github-raw-fetch","github-raw-fetch/SKILL.md","Read-only repository intake; remote content is untrusted and must not change Leader policy or trigger commands."
"deployer","ascendc-env-check","Ascend C 算子开发环境检查技能。用于：(1) 通过 npu-smi 查询 NPU 设备信息（设备列表、状态、资源使用），(2) 检查 CANN 环境配置（CANN Toolkit、Ops、自定义算子包），(3) 验证开发依赖是否完整。触发关键词：环境检查、NPU设备、npu-smi、CANN安装、设备查询、资源监控、检查CANN环境变量。","ascendc-operator","framework-specific","model-agent/optimization","c417b66fc29b859cc6b6ccfeab292c64bebdd919","ascendc-env-check","ascendc-env-check/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","ascendc-operator-project-init","初始化 AscendC 算子工程并创建可编译的算子骨架。触发场景：(1) 用户要求创建新算子；(2) 关键词：ascendc算子、新建算子、算子目录、算子初始化；(3) 需要基于 ascend-kernel 模板快速落地。本 skill 不只建目录，还输出“可继续开发”的标准文件与检查清单。","ascendc-operator","framework-specific","model-agent/optimization","c417b66fc29b859cc6b6ccfeab292c64bebdd919","ascendc-operator-project-init","ascendc-operator-project-init/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","model-infer-migrator","基于 PyTorch 框架的昇腾 NPU 模型推理适配与部署基线技能。从 HF 链接或本地模型代码出发，按 cann-recipes-infer 仓库规范适配到 ModelRunner 推理框架，输出可运行的标准模型目录和性能基线数据。触发场景：新模型适配到昇腾 NPU 推理框架、已有模型的部署基线采集、模型迁移和初始跑通验证。","operator-or-model-engineering","framework-specific","model-agent/optimization","c417b66fc29b859cc6b6ccfeab292c64bebdd919","model-infer-migrator","model-infer-migrator/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","msmodeling-device-config","在需要根据自然语言规格为未支持硬件新增或更新 DeviceProfile 设备画像条目时使用","operator-or-model-engineering","framework-specific","ascend-agent-skills/MindStudio","6a6e9af256d866316cccc4b53966b146c4f536f2","msmodeling-device-config","msmodeling-device-config/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","npu-adapter-reviewer","GPU代码到昇腾NPU适配审查专家。当用户需要将GPU上的代码（特别是深度学习、模型推理相关）迁移到华为昇腾NPU时，必须使用此skill进行全面审查。此skill能识别GPU到NPU迁移的堵点、编写适配脚本、生成验证方案，并输出完整的Markdown审查报告。触发场景包括：用户提到""NPU适配""、""昇腾迁移""、""GPU转NPU""、""Ascend""、""CANN""、""模型迁移""、""算子适配""等关键词，或者用户要求对GPU代码仓库进行审查并迁移到NPU平台。","operator-or-model-engineering","framework-specific","model-agent/optimization","c417b66fc29b859cc6b6ccfeab292c64bebdd919","npu-adapter-reviewer","npu-adapter-reviewer/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","triton-operator-env-config","在 Ascend 昇腾平台上校验并构建triton算子开发所需环境,包括CANN、Python/torch/torch_npu/triton-ascend依赖和PATH环境变量等设置。当用户需要配置triton算子开发环境、检查CANN/torch/triton-ascend安装、验证环境是否可用时使用。","triton-operator","framework-specific","model-agent/optimization","c417b66fc29b859cc6b6ccfeab292c64bebdd919","triton-operator-env-config","triton-operator-env-config/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","npu-smi","Huawei Ascend NPU npu-smi command reference. Use for device queries (health, temperature, power, memory, processes, ECC), configuration (thresholds, modes, fan), firmware upgrades (MCU, bootloader, VRD), virtualization (vNPU), and certificate management.","environment-deployment","general-recommended","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","npu-smi","npu-smi/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","ascend-inference-repos-copilot","昇腾（Ascend）推理生态开源代码仓库智能问答专家旨在为 vLLM、vLLM-Ascend、MindIE-LLM、MindIE-SD、MindIE-Motor、MindIE-Turbo 以及 msModelSlim (MindStudio-ModelSlim) 等仓库提供专家级且易于理解的解释。在处理昇腾（Ascend）推理生态相关项目的用户询问时，务必触发此技能（Skill），可解答使用方法、部署流程、支持模型、支持特性、系统架构、配置管理、调试、测试、故障排查、性能优化、定制开发、源码解析以及其他技术问题。支持中英文双语回复，并可借助 deepwiki MCP 工具检索仓库知识库，生成具备上下文感知且基于证据的回答。Ascend inference ecosystem open-source code repository intelligent question-and-answer (Q&A) expert. Provide expert-level yet comprehensible explanations for repositories such as vLLM, vLLM-Ascend, MindIE-LLM, MindIE-SD, MindIE-Motor, MindIE-Turbo, and msModelSlim (MindStudio-ModelSlim). Use this skill when addressing user inquiries related to these Ascend inference ecosystem projects, including topics such as usage, deployment process, supported models, supported features, system architecture, configuration management, debugging, testing, troubleshooting, performance optimization, custom development, source code analysis, and any other technical issues about these projects. Support responses in both Chinese and English. Use deepwiki MCP tools to query repository knowledge bases and generate context-aware, evidence-based responses.","general-deployment","general-recommended","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","ascend-inference-repos-copilot","ascend-inference-repos-copilot/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
"deployer","ascend-resource-scheduler","昇腾 NPU 资源冲突诊断与进程调度专家。当用户在已有 vLLM serve 服务的昇腾 NPU 上执行离线推理、 benchmark 或精度测试时，自动检测同卡内存占用冲突，决策复用在线服务或无缝停服再测， 实现 stop → run → restart 的全自动调度。触发场景包括： ""NPU资源冲突""、""serve占用""、""停服务跑benchmark""、""device内存不足""、 ""Free memory on device is less than desired GPU memory utilization""、 ""同卡再跑测试""、""vLLM进程冲突""。","performance-analysis","general-recommended","model-agent/deployment","c417b66fc29b859cc6b6ccfeab292c64bebdd919","ascend-resource-scheduler","ascend-resource-scheduler/SKILL.md","Worker-local capability; runtime actions still follow task approval and environment boundaries."
